,buy,hold,period,sell,strongBuy,strongSell,symbol
0,2,6,2020-07-01,0,2,0,TSM
1,4,2,2020-06-01,1,2,0,TSM
2,4,2,2020-05-01,1,2,0,TSM
3,3,6,2020-04-01,0,2,0,TSM
4,3,6,2020-03-01,0,2,0,TSM
5,3,6,2020-02-01,0,2,0,TSM
6,3,6,2020-01-01,0,2,0,TSM
7,3,6,2019-12-01,0,2,0,TSM
8,3,6,2019-11-01,0,2,0,TSM
9,3,6,2019-10-01,0,2,0,TSM
10,3,6,2019-09-01,0,2,0,TSM
11,3,6,2019-08-01,0,2,0,TSM
12,3,6,2019-07-01,0,2,0,TSM
13,3,6,2019-06-01,0,2,0,TSM
14,3,6,2019-05-01,0,2,0,TSM
15,3,6,2019-04-01,0,2,0,TSM
16,3,6,2019-03-01,0,2,0,TSM
17,3,6,2019-02-01,0,2,0,TSM
18,3,6,2019-01-01,0,2,0,TSM
19,11,12,2020-07-01,0,10,0,BA
20,7,16,2020-06-01,0,6,1,BA
21,8,15,2020-05-01,0,6,2,BA
22,16,6,2020-04-01,0,10,0,BA
23,16,6,2020-03-01,0,10,0,BA
24,16,6,2020-02-01,0,10,0,BA
25,16,6,2020-01-01,0,10,0,BA
26,16,6,2019-12-01,0,10,0,BA
27,16,6,2019-11-01,0,10,0,BA
28,16,6,2019-10-01,0,10,0,BA
29,16,6,2019-09-01,0,10,0,BA
30,16,6,2019-08-01,0,10,0,BA
31,16,6,2019-07-01,0,10,0,BA
32,16,6,2019-06-01,0,10,0,BA
33,16,6,2019-05-01,0,10,0,BA
34,16,6,2019-04-01,0,10,0,BA
35,16,6,2019-03-01,0,10,0,BA
36,16,6,2019-02-01,0,10,0,BA
37,11,11,2019-01-01,0,9,0,BA
38,8,16,2020-07-01,4,6,1,AMD
39,17,21,2020-06-01,0,7,1,AMD
40,16,20,2020-05-01,0,7,1,AMD
41,13,23,2020-04-01,0,6,1,AMD
42,13,23,2020-03-01,0,6,1,AMD
43,13,23,2020-02-01,0,6,1,AMD
44,13,23,2020-01-01,0,6,1,AMD
45,11,24,2019-12-01,0,7,1,AMD
46,11,23,2019-11-01,0,8,1,AMD
47,7,18,2019-10-01,4,6,1,AMD
48,7,18,2019-09-01,4,6,1,AMD
49,7,18,2019-08-01,4,6,1,AMD
50,7,18,2019-07-01,4,6,1,AMD
51,7,18,2019-06-01,4,6,1,AMD
52,7,18,2019-05-01,4,6,1,AMD
53,7,18,2019-04-01,4,6,1,AMD
54,7,18,2019-03-01,4,6,1,AMD
55,7,18,2019-02-01,4,6,1,AMD
56,7,18,2019-01-01,4,6,1,AMD
